127.0.0.1 - - [01/Mar/2023:01:02:34 -0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:02:35 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:05:14 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:05:15 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:05:17 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:05:49 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:06:14 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:06:22 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:07:20 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:07:42 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:08:22 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:08:23 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:08:56 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:09:22 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:09:44 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:14:03 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:14:30 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:14:41 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:14:50 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:16:31 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:16:32 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:16:32 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:16:33 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:16:33 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:16:59 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:17:01 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:17:22 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:17:56 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:17:57 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:17:59 -0800] "GET /HW1/EditEntry?id=1 HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [01/Mar/2023:01:21:10 -0800] "GET /HW1/DosesHomepage HTTP/1.1" 200 874
