127.0.0.1 - - [19/Apr/2023:19:48:30 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:31 -0700] "GET /Lab13/DisplayFaculty HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:31 -0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:33 -0700] "GET /Lab13/AddFaculty HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:39 -0700] "POST /Lab13/AddFaculty HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:39 -0700] "GET /Lab13/DisplayFaculty HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:41 -0700] "GET /Lab13/AddFaculty HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:44 -0700] "POST /Lab13/AddFaculty HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:44 -0700] "GET /Lab13/DisplayFaculty HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:45 -0700] "GET /Lab13/AddFaculty HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:47 -0700] "POST /Lab13/AddFaculty HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:47 -0700] "GET /Lab13/DisplayFaculty HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:48 -0700] "GET /Lab13/AddFaculty HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:49 -0700] "POST /Lab13/AddFaculty HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:19:48:49 -0700] "GET /Lab13/DisplayFaculty HTTP/1.1" 200 984
